FID,Id,ORIG_FID,Id_1,Z (ft),POINT_X,POINT_Y,Lat,Long
202,0,0,0,217,1275793.56,245179.889,47.6624985,-122.3130035
203,0,0,0,216.9849405,1275794.528,245212.6831,47.6626015,-122.3130035
204,0,0,0,193.73185,1275795.496,245245.4771,47.6627007,-122.3130035
205,0,0,0,148.8992464,1275796.465,245278.2711,47.6627998,-122.3130035
206,0,0,0,195.9570673,1275797.433,245311.0652,47.662899,-122.3130035
207,0,0,0,113.2884952,1275798.401,245343.8592,47.6629982,-122.3130035
208,0,0,0,217.142051,1275799.369,245376.6533,47.6631012,-122.3130035
209,0,0,0,183.6066109,1275800.336,245409.4474,47.6632004,-122.3130035
210,0,0,0,225.9870833,1275801.303,245442.2415,47.6632996,-122.3130035
211,0,0,0,225.8282043,1275802.269,245475.0355,47.6632996,-122.3130035
212,0,0,0,219,1275803.236,245507.8296,47.6633987,-122.3130035
213,0,0,0,219,1275804.203,245540.6237,47.6635017,-122.3130035
214,0,0,0,218.3419568,1275805.17,245573.4178,47.6636009,-122.3130035
215,0,0,0,218.2851234,1275806.137,245606.2119,47.6637001,-122.3130035
216,0,0,0,243.8047146,1275807.103,245639.006,47.6637993,-122.3130035
217,0,0,0,218.0400731,1275808.07,245671.8001,47.6638985,-122.3130035
218,0,0,0,136.1959455,1275809.037,245704.5941,47.6640015,-122.3130035
219,0,0,0,206.8815271,1275810.004,245737.3882,47.6641006,-122.3130035
220,0,0,0,217.7111676,1275810.972,245770.1823,47.6641998,-122.3130035
221,0,0,0,218.7454489,1275811.946,245802.9762,47.6641998,-122.3130035
222,0,0,0,218.0968965,1275812.919,245835.77,47.664299,-122.3130035
223,0,0,0,218,1275813.892,245868.5639,47.6643982,-122.3130035
224,0,0,0,218.7380193,1275814.865,245901.3578,47.6645012,-122.3130035
225,0,0,0,218.892424,1275815.838,245934.1517,47.6646004,-122.3130035
226,0,0,0,218.1622769,1275816.811,245966.9456,47.6646996,-122.3130035
227,0,0,0,164.5390767,1275817.785,245999.7395,47.6647987,-122.3130035
228,0,0,0,245.5021707,1275818.758,246032.5334,47.6649017,-122.3130035
229,0,0,0,49.01155714,1275819.731,246065.3273,47.6650009,-122.3130035
230,0,0,0,219,1275820.703,246098.1213,47.6651001,-122.3130035
231,0,0,0,218.0485016,1275821.676,246130.9152,47.6651001,-122.3130035
232,0,0,0,218.0065413,1275822.648,246163.7091,47.6651993,-122.3130035
233,0,0,0,132.4793665,1275823.621,246196.503,47.6652985,-122.3130035
234,0,0,0,217.2328202,1275824.594,246229.2969,47.6654015,-122.3130035
235,0,0,0,218.3118303,1275825.566,246262.0908,47.6655006,-122.3130035
236,0,0,0,219.3294276,1275826.539,246294.8847,47.6655998,-122.3130035
237,0,0,0,220.3479393,1275827.512,246327.6786,47.665699,-122.3130035
238,0,0,0,219,1275828.484,246360.4726,47.6657982,-122.3130035
239,0,0,0,218.9567841,1275829.457,246393.2665,47.6659012,-122.3130035
240,0,0,0,218.440414,1275830.429,246426.0604,47.6660004,-122.3130035
241,0,0,0,216.7415822,1275831.402,246458.8543,47.6660004,-122.3130035
242,0,0,0,223.6389595,1275832.375,246491.6482,47.6660995,-122.3130035
243,0,0,0,217.8531121,1275833.347,246524.4421,47.6661987,-122.3130035
244,0,0,0,215.0836574,1275834.32,246557.236,47.6663017,-122.3130035
245,0,0,0,218.9029771,1275835.293,246590.0299,47.6664009,-122.3130035
246,0,0,0,151.6548083,1275836.265,246622.8239,47.6665001,-122.3130035
247,0,0,0,217.0403165,1275837.237,246655.6178,47.6665993,-122.3130035
248,0,0,0,217,1275838.208,246688.4117,47.6666985,-122.3130035
249,0,0,0,217.7135474,1275839.18,246721.2057,47.6668015,-122.3130035
250,0,0,0,218.7536816,1275840.152,246753.9996,47.6669006,-122.3130035
251,0,0,0,218.3149848,1275841.124,246786.7936,47.6669006,-122.3130035
252,0,0,0,219.2326986,1275842.096,246819.5875,47.6669998,-122.3130035
253,0,0,0,223.8932404,1275843.068,246852.3814,47.667099,-122.3130035
254,0,0,0,219.3179073,1275844.04,246885.1754,47.6671982,-122.3130035
255,0,0,0,219.144536,1275845.012,246917.9693,47.6673012,-122.3130035
256,0,0,0,216.3889121,1275845.984,246950.7632,47.6674004,-122.3130035
257,0,0,0,219.8594042,1275846.956,246983.5572,47.6674995,-122.3130035
258,0,0,0,219.7956365,1275847.927,247016.3511,47.6675987,-122.3130035
259,0,0,0,220,1275848.899,247049.145,47.6677017,-122.3130035
260,0,0,0,221,1275849.871,247081.939,47.6678009,-122.3130035
261,0,0,0,220.0015345,1275850.843,247114.7329,47.6678009,-122.3130035
262,0,0,0,222.6410622,1275851.815,247147.5268,47.6679001,-122.3130035
263,0,0,0,222.3244395,1275852.787,247180.3208,47.6679993,-122.3130035
264,0,0,0,221.2076057,1275853.759,247213.1147,47.6680984,-122.3130035
265,0,0,0,228.0026032,1275854.731,247245.9086,47.6682014,-122.3130035
266,0,0,0,211.1504791,1275855.703,247278.7026,47.6683006,-122.3130035
267,0,0,0,222.0931362,1275856.674,247311.4965,47.6683998,-122.3130035
268,0,0,0,165.9433609,1275857.646,247344.2904,47.668499,-122.3130035
269,0,0,0,221.5510536,1275858.6,247377.0838,47.6685982,-122.3130035
270,0,0,0,223.0237751,1275859.082,247409.8886,47.6687012,-122.3130035
271,0,0,0,222.6799066,1275859.565,247442.6934,47.6687012,-122.3130035
272,0,0,0,222.8633888,1275860.047,247475.4982,47.6688004,-122.3130035
273,0,0,0,223,1275860.529,247508.303,47.6688995,-122.3130035
274,0,0,0,223.0165488,1275861.012,247541.1078,47.6689987,-122.3130035
275,0,0,0,224,1275861.494,247573.9126,47.6691017,-122.3130035
276,0,0,0,223.9994448,1275861.977,247606.7174,47.6692009,-122.3130035
277,0,0,0,223.5563198,1275862.459,247639.5221,47.6693001,-122.3130035
278,0,0,0,224.1308777,1275862.941,247672.3269,47.6693993,-122.3130035
279,0,0,0,223.0234158,1275863.427,247705.1317,47.6694984,-122.3130035
280,0,0,0,225,1275863.921,247737.9363,47.6696014,-122.3130035
281,0,0,0,224.6161509,1275864.415,247770.7409,47.6696014,-122.3130035
282,0,0,0,223.5823144,1275864.91,247803.5455,47.6697006,-122.3130035
283,0,0,0,224.8656268,1275865.404,247836.3501,47.6697998,-122.3130035
284,0,0,0,224.9207401,1275865.898,247869.1547,47.669899,-122.3130035
285,0,0,0,225.0671328,1275866.392,247901.9593,47.6699982,-122.3130035
286,0,0,0,225.3532208,1275866.887,247934.7639,47.6701012,-122.3130035
287,0,0,0,225.7112716,1275867.381,247967.5686,47.6702003,-122.3130035
288,0,0,0,225,1275867.875,248000.3732,47.6702995,-122.3130035
289,0,0,0,225.8402551,1275868.369,248033.1778,47.6703987,-122.3130035
290,0,0,0,224.8691688,1275868.864,248065.9824,47.6705017,-122.3130035
291,0,0,0,224,1275869.358,248098.787,47.6705017,-122.3130035
292,0,0,0,225,1275869.852,248131.5916,47.6706009,-122.3130035
293,0,0,0,224.8789764,1275870.346,248164.3962,47.6707001,-122.3130035
294,0,0,0,224,1275870.844,248197.2008,47.6707993,-122.3130035
295,0,0,0,207.7293518,1275871.343,248230.0053,47.6708984,-122.3130035
296,0,0,0,65.23222203,1275871.794,248262.8102,47.6710014,-122.3130035
297,0,0,0,152.231533,1275871.73,248295.6184,47.6711006,-122.3130035
298,0,0,0,218.8925011,1275875.691,248327.9768,47.6711998,-122.3130035
299,0,0,0,72.6290321,1275857.223,248340.1762,47.6711998,-122.3130035
300,0,0,0,224.9495876,1275824.437,248341.3834,47.6711998,-122.3130035
301,0,0,0,97.36202661,1275791.651,248342.5907,47.6711998,-122.3130035
302,0,0,0,184.9168357,1275759.312,248348.1059,47.6711998,-122.3130035
303,0,0,0,185.2357571,1275727.483,248355.5305,47.6711998,-122.314003
304,0,0,0,72.35600393,1275696.749,248367.0123,47.671299,-122.314003
305,0,0,0,81.54073542,1275666.015,248378.4941,47.671299,-122.314003
306,0,0,0,137.5527301,1275635.569,248390.5964,47.671299,-122.314003
307,0,0,0,225,1275607.881,248407.9828,47.6713982,-122.314003
308,0,0,0,223.5956054,1275583.6,248429.9996,47.6713982,-122.314003
309,0,0,0,133.2793576,1275560.175,248452.9179,47.6715012,-122.314003
310,0,0,0,145.9640896,1275532.158,248469.9208,47.6715012,-122.314003
311,0,0,0,163.2026219,1275502.626,248484.1611,47.6716003,-122.3150024
312,0,0,0,173.425155,1275471.896,248495.6536,47.6716003,-122.3150024
313,0,0,0,224.908416,1275441.166,248507.146,47.6716003,-122.3150024
314,0,0,0,34.44748611,1275410.437,248518.6385,47.6716995,-122.3150024
315,0,0,0,176.8495838,1275379.707,248530.1309,47.6716995,-122.3150024
316,0,0,0,173.7016049,1275348.977,248541.6234,47.6716995,-122.3150024
317,0,0,0,3.294010107,1275318.248,248553.1159,47.6717987,-122.3150024
318,0,0,0,174.375911,1275287.518,248564.6083,47.6717987,-122.3150024
319,0,0,0,0,1275256.789,248576.1008,47.6717987,-122.3160019
320,0,0,0,214.9370181,1275226.059,248587.5932,47.6719017,-122.3160019
