Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
477,4770,124.4169239,37.92227839
478,4780,118.422887,36.09529595
479,4790,118.138744,36.00868916
480,4800,117.5736081,35.83643576
481,4810,116.9972364,35.66075765
482,4820,116.8866623,35.62705466
483,4830,116.3867333,35.4746763
484,4840,115.6452528,35.24867305
485,4850,114.6871771,34.95665157
486,4860,113.8237203,34.69346994
487,4870,112.8786377,34.40540876
488,4880,111.887277,34.10324204
489,4890,111.0538146,33.8492027
490,4900,110.0695711,33.54920527
491,4910,119.8874009,36.54167978
492,4920,122.4459485,37.3215251
493,4930,113.889446,34.71350315
494,4940,107.2662644,32.69475739
495,4950,105.476784,32.14932377
496,4960,104.5717782,31.873478
497,4970,103.629814,31.58636731
498,4980,107.0705698,32.63510966
499,4990,106.2586692,32.38764237
500,5000,103.7491455,31.62273955
501,5010,100.3495832,30.58655296
502,5020,100.3053129,30.57305936
503,5030,99.60548804,30.35975275
504,5040,98.89711312,30.14384008
505,5050,122.1901709,37.24356411
506,5060,120.2906629,36.66459404
507,5070,115.6942039,35.26359335
508,5080,94.44451484,28.78668812
509,5090,93.64360944,28.54257216
510,5100,92.49507077,28.19249757
511,5110,91.53731056,27.90057226
512,5120,91.05048833,27.75218884
513,5130,91.72547471,27.95792469
514,5140,90.775136,27.66826145
515,5150,87.86328335,26.78072876
516,5160,86.30320141,26.30521579
517,5170,87.32634719,26.61707062
518,5180,84.06972636,25.62445259
519,5190,84.5583087,25.77337249
520,5200,81.32812779,24.78881335
521,5210,80.92120609,24.66478362
522,5220,91.94910564,28.0260874
523,5230,79.62386147,24.26935298
524,5240,78.91752012,24.05406013
525,5250,78.64145625,23.96991587
526,5260,81.27024524,24.77117075
527,5270,79.13768916,24.12116765
528,5280,79.40089397,24.20139248
529,5290,79.5700064,24.25293795
530,5300,81.66661799,24.89198516
531,5310,79.32099274,24.17703859
532,5320,79.11424985,24.11402335
533,5330,77.89786541,23.74326938
534,5340,76.64780154,23.36224991
535,5350,75.17243891,22.91255938
536,5360,73.83816633,22.5058731
537,5370,72.48145538,22.0923476
538,5380,71.10761955,21.67360244
539,5390,69.99598849,21.33477729
540,5400,69.29939241,21.12245481
541,5410,68.98872038,21.02776197
542,5420,71.55305585,21.80937142
543,5430,68.67097852,20.93091425
544,5440,69.82799209,21.28357199
545,5450,69.02204068,21.037918
546,5460,69.85996409,21.29331706
547,5470,72.15507902,21.99286809
548,5480,69.98709933,21.33206787
549,5490,73.02502654,22.25802809
550,5500,70.29888774,21.42710098
551,5510,70.6899183,21.5462871
552,5520,93.99228741,28.6488492
553,5530,71.0728849,21.66301532
554,5540,71.42886033,21.77151663
555,5550,72.0900313,21.97304154
556,5560,72.61329274,22.13253163
557,5570,79.61696496,24.26725092
558,5580,74.12803384,22.59422471
559,5590,74.85813813,22.8167605
560,5600,75.50800792,23.01484081
561,5610,82.09271936,25.02186086
562,5620,77.13796258,23.51165099
563,5630,77.99675355,23.77341048
564,5640,86.49060247,26.36233563
565,5650,79.66133182,24.28077394
566,5660,83.80713835,25.54441577
567,5670,94.56481543,28.82335574
568,5680,85.18471483,25.96430108
569,5690,82.73285113,25.21697303
570,5700,83.40171263,25.42084201
571,5710,86.58058064,26.38976098
572,5720,86.09908317,26.24300055
