Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
433,4330,75.37402155,22.97400177
434,4340,79.25504732,24.15693842
435,4350,79.72983788,24.30165459
436,4360,77.11817774,23.50562058
437,4370,82.45597411,25.13258091
438,4380,78.3209312,23.87221983
439,4390,78.86785389,24.03892186
440,4400,79.43628408,24.21217939
441,4410,80.02785229,24.39248938
442,4420,80.64047749,24.57921754
443,4430,81.23953002,24.76180875
444,4440,81.87524845,24.95557573
445,4450,82.54537983,25.15983177
446,4460,85.35944385,26.01755849
447,4470,83.70420971,25.51304312
448,4480,84.52826408,25.76421489
449,4490,84.85890102,25.86499303
450,4500,85.43946925,26.04195023
451,4510,88.60554878,27.00697127
452,4520,86.44008685,26.34693847
453,4530,86.93482289,26.49773402
454,4540,87.46192952,26.65839612
455,4550,88.20061055,26.88354609
456,4560,88.74748315,27.05023286
457,4570,114.3684827,34.85951352
458,4580,89.65896404,27.32805224
459,4590,95.30009343,29.04746848
460,4600,90.85633796,27.69301181
461,4610,94.35856223,28.76048977
462,4620,92.13097235,28.08152037
463,4630,92.69066933,28.25211601
464,4640,93.25591282,28.42440223
465,4650,93.90228132,28.62141535
466,4660,94.53175263,28.8132782
467,4670,95.07460897,28.97874081
468,4680,95.67244667,29.16096174
469,4690,96.47009216,29.40408409
470,4700,96.91592298,29.53997332
471,4710,97.57678648,29.74140452
472,4720,98.16981152,29.92215855
473,4730,100.9634697,30.77366556
474,4740,100.5732196,30.65471735
475,4750,99.88937218,30.44628064
476,4760,100.4532288,30.61814415
477,4770,100.9831114,30.77965236
478,4780,103.2536086,31.47169991
479,4790,102.1696041,31.14129534
480,4800,102.6942123,31.30119592
481,4810,103.2894406,31.4826215
482,4820,114.5937302,34.92816897
483,4830,104.4614071,31.83983689
484,4840,105.038226,32.01565129
485,4850,105.6221947,32.19364493
486,4860,106.1101781,32.34238229
487,4870,109.3432447,33.32782099
488,4880,108.6676596,33.12190265
489,4890,107.6646622,32.81618903
490,4900,108.2670286,32.99979032
491,4910,109.8293143,33.47597501
492,4920,109.3672959,33.33515178
493,4930,110.0361073,33.5390055
494,4940,110.6426907,33.72389213
495,4950,111.2299419,33.90288629
496,4960,111.6657243,34.03571278
497,4970,112.1909362,34.19579734
498,4980,112.7723344,34.37300754
499,4990,113.325566,34.54163251
500,5000,113.9165237,34.72175641
501,5010,114.4224134,34.8759516
502,5020,115.1056309,35.08419631
503,5030,115.6713594,35.25663035
504,5040,116.257623,35.43532348
505,5050,116.8067138,35.60268638
506,5060,117.4304671,35.79280639
507,5070,118.0273322,35.97473085
508,5080,118.5740532,36.14137141
509,5090,119.1113153,36.30512891
510,5100,119.8737048,36.53750523
511,5110,120.4036282,36.69902587
512,5120,120.9831681,36.87566962
513,5130,121.5547545,37.04988917
514,5140,122.2203981,37.25277735
515,5150,122.9200881,37.46604286
516,5160,127.7108634,38.92627116
517,5170,124.1089517,37.82840849
518,5180,124.72508,38.0162044
519,5190,125.2811963,38.18570864
520,5200,125.8538877,38.36026498
521,5210,126.6265288,38.59576598
522,5220,127.7540597,38.93943739
523,5230,129.5721355,39.49358689
524,5240,129.882356,39.58814211
525,5250,130.9197971,39.90435415
526,5260,132.6508385,40.43197556
527,5270,133.0839755,40.56399573
528,5280,135.2363436,41.22003754
529,5290,135.3584423,41.25725321
530,5300,136.7629481,41.68534659
531,5310,137.9783614,42.05580455
532,5320,146.294911,44.59068887
533,5330,140.9113766,42.94978758
534,5340,141.0012136,42.97716991
535,5350,145.4740796,44.34049947
536,5360,142.8801302,43.54986367
537,5370,145.1219357,44.233166
538,5380,175.2755322,53.42398221
539,5390,150.6096419,45.90581884
540,5400,146.0388081,44.51262871
541,5410,146.9593726,44.79321677
542,5420,148.0317666,45.12008247
543,5430,150.0757639,45.74309284
544,5440,149.987316,45.71613393
545,5450,150.8716707,45.98568522
546,5460,151.8640279,46.2881557
547,5470,152.9301582,46.61311223
548,5480,154.5780022,47.11537507
549,5490,154.8696463,47.20426818
550,5500,155.8218197,47.49449064
551,5510,156.9012587,47.82350366
552,5520,157.7536628,48.08331642
553,5530,158.8031282,48.40319348
554,5540,159.8463734,48.72117462
555,5550,160.7994222,49.0116639
556,5560,161.8572387,49.33408635
557,5570,173.6127046,52.91715235
558,5580,163.9031059,49.95766667
559,5590,164.9825835,50.28669146
560,5600,166.0273261,50.605129
561,5610,167.0471275,50.91596445
